row,col,plot
1,1,BORLAUG 100
1,2,BORLAUG 100
1,3,BORLAUG 100
1,4,BORLAUG 100
1,5,BORLAUG 100
1,6,BORLAUG 100
1,7,BORLAUG 100
1,8,BORLAUG 100
1,9,BORLAUG 100
1,10,BORLAUG 100
1,11,BORLAUG 100
1,12,BORLAUG 100
1,13,BORLAUG 100
1,14,BORLAUG 100
1,15,BORLAUG 100
1,16,BORLAUG 100
1,17,BORLAUG 100
1,18,BORLAUG 100
1,19,BORLAUG 100
1,20,BORLAUG 100
1,21,BORLAUG 100
1,22,BORLAUG 100
1,23,BORLAUG 100
1,24,BORLAUG 100
1,25,BORLAUG 100
1,26,BORLAUG 100
1,27,BORLAUG 100
1,28,BORLAUG 100
1,29,BORLAUG 100
1,30,BORLAUG 100
1,31,BORLAUG 100
1,32,BORLAUG 100
1,33,BORLAUG 100
1,34,BORLAUG 100
1,35,BORLAUG 100
1,36,BORLAUG 100
1,37,BORLAUG 100
1,38,BORLAUG 100
1,39,BORLAUG 100
1,40,BORLAUG 100
1,41,BORLAUG 100
1,42,BORLAUG 100
1,43,BORLAUG 100
1,44,BORLAUG 100
1,45,BORLAUG 100
1,46,BORLAUG 100
1,47,BORLAUG 100
1,48,BORLAUG 100
1,49,BORLAUG 100
1,50,BORLAUG 100
1,51,BORLAUG 100
1,52,BORLAUG 100
1,53,BORLAUG 100
1,54,BORLAUG 100
1,55,BORLAUG 100
1,56,BORLAUG 100
1,57,BORLAUG 100
1,58,BORLAUG 100
1,59,BORLAUG 100
1,60,BORLAUG 100
1,61,BORLAUG 100
1,62,BORLAUG 100
1,63,BORLAUG 100
1,64,BORLAUG 100
1,65,BORLAUG 100
1,66,BORLAUG 100
1,67,BORLAUG 100
1,68,BORLAUG 100
1,69,BORLAUG 100
1,70,BORLAUG 100
1,71,BORLAUG 100
1,72,BORLAUG 100
1,73,BORLAUG 100
1,74,BORLAUG 100
1,75,BORLAUG 100
1,76,BORLAUG 100
1,77,BORLAUG 100
1,78,BORLAUG 100
1,79,BORLAUG 100
1,80,BORLAUG 100
1,81,BORLAUG 100
1,82,BORLAUG 100
1,83,BORLAUG 100
1,84,BORLAUG 100
1,85,BORLAUG 100
1,86,BORLAUG 100
1,87,BORLAUG 100
1,88,BORLAUG 100
1,89,BORLAUG 100
1,90,BORLAUG 100
1,91,BORLAUG 100
1,92,BORLAUG 100
1,93,BORLAUG 100
1,94,BORLAUG 100
1,95,BORLAUG 100
1,96,BORLAUG 100
1,97,BORLAUG 100
1,98,BORLAUG 100
1,99,BORLAUG 100
1,100,BORLAUG 100
1,101,BORLAUG 100
1,102,BORLAUG 100
1,103,BORLAUG 100
1,104,BORLAUG 100
1,105,BORLAUG 100
2,1,690
2,2,689
2,3,688
2,4,687
2,5,686
2,6,685
2,7,684
2,8,683
2,9,682
2,10,681
2,11,680
2,12,679
2,13,678
2,14,677
2,15,676
2,16,715
2,17,714
2,18,713
2,19,712
2,20,711
2,21,710
2,22,709
2,23,708
2,24,707
2,25,706
2,26,705
2,27,704
2,28,703
2,29,702
2,30,701
2,31,1890
2,32,1889
2,33,1888
2,34,1887
2,35,1886
2,36,1885
2,37,1884
2,38,1883
2,39,1882
2,40,1881
2,41,1880
2,42,1879
2,43,1878
2,44,1877
2,45,1876
2,46,1915
2,47,1914
2,48,1913
2,49,1912
2,50,1911
2,51,1910
2,52,1909
2,53,1908
2,54,1907
2,55,1906
2,56,1905
2,57,1904
2,58,1903
2,59,1902
2,60,1901
2,61,3090
2,62,3089
2,63,3088
2,64,3087
2,65,3086
2,66,3085
2,67,3084
2,68,3083
2,69,3082
2,70,3081
2,71,3080
2,72,3079
2,73,3078
2,74,3077
